black_sims,black_winrate,mean_score,std_score
1,0.0000,-8.6250,2.6507
2,0.5208,-2.1875,11.7777
3,0.4375,-2.5000,10.9772
4,0.3958,-3.8333,10.5185
6,0.6250,-0.3333,11.7780
8,0.7708,2.7917,10.4820
10,0.6042,-0.6250,12.8527
12,0.6875,1.7292,11.1098
14,0.7292,2.9792,10.4761
16,0.7083,1.5208,10.8022
20,0.5625,-2.1667,13.0005
24,0.7917,3.3125,10.8985
28,0.8750,6.2292,7.1348
32,0.7917,3.9167,8.8290
40,0.8958,6.2500,6.9116
48,1.0000,7.2083,3.9156
64,0.9583,7.6667,6.2461
